Food_Item,Calories_per_100g,Protein_per_100g,Carbs_per_100g,Fat_per_100g,Diet_Type,Allergy,Food_Category,Meal_Time,Portion_Size
Sushi with Avocado,250,10.0,30.0,10.0,Vegan,None,Meal,Lunch,5 pieces (150g)
Poha,180,3.0,30.0,5.0,Low-Fat,None,Indian Dish,Breakfast,1 serving (200g)
Rajma Chawal,350,12.0,60.0,5.0,High-Carb,None,Indian Dish,Lunch,1 plate (300g)
Greek Yogurt (unsweetened),100,10.0,8.0,5.0,High-Protein,Dairy,Dairy,Snack,1 cup (150g)
Dahi Puri (Curd Puri),150,5.0,25.0,5.0,Vegetarian,None,Snack,Evening Snack,4 pieces (100g)
Khandvi (Savory Gram Flour Rolls),130,5.0,20.0,4.0,Vegetarian,Gluten,Grain,Snack,2 pieces (80g)
Pumpkin Seeds,180,9.0,4.0,15.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Methi Thepla (Fenugreek Flatbread),140,6.0,25.0,3.0,Vegetarian,Gluten,Grain,Breakfast,1 thepla (100g)
Whole Wheat Chapati with Ghee,150,4.0,25.0,5.0,Vegetarian,Gluten,Grain,Lunch,1 chapati (50g)
Tomato and Avocado Salad,160,4.0,15.0,10.0,Vegan,None,Vegetable,Lunch,1 bowl (150g)
Lentils,116,9.0,20.1,0.4,High-Protein,None,Legume,Lunch,1 cup (200g)
Apple Cinnamon Oatmeal,150,6.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 bowl (200g)
Dahi Puri (Curd Puri),150,5.0,25.0,5.0,Vegetarian,None,Snack,Evening Snack,4 pieces (100g)
Steamed Broccoli with Lemon,60,5.0,10.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Palak Paneer,190,10.0,14.0,10.0,Balanced,Dairy,Indian Dish,Lunch,1 serving (200g)
Moong Dal Pancakes,150,8.0,25.0,3.0,Vegan,None,Legumes,Breakfast,2 pieces (100g)
Tomato and Avocado Salad,160,4.0,15.0,10.0,Vegan,None,Vegetable,Lunch,1 bowl (150g)
Soya Chunks Stir Fry,220,25.0,10.0,10.0,High-Protein,Soy,Meal,Lunch,1 serving (200g)
Banana,89,1.1,22.8,0.3,Low-Calorie,None,Fruit,Morning Snack,1 banana (120g)
Vegetable Stir-Fry,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Mung Bean Salad,180,9.0,30.0,4.0,Vegan,None,Legumes,Lunch,1 bowl (200g)
Baked Salmon with Spinach,300,20.0,10.0,20.0,Non-Vegetarian,Fish,Protein,Lunch,1 serving (200g)
Vegetable Stir-Fry,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Baked Tofu with Steamed Veggies,200,18.0,12.0,10.0,Vegan,None,Protein,Lunch,1 serving (200g)
Grilled Salmon,400,40.0,5.0,25.0,Low-Carb,Fish,Meat,Dinner,1 fillet (200g)
Mung Bean Salad,180,9.0,30.0,4.0,Vegan,None,Legumes,Lunch,1 bowl (200g)
Steamed Veggie Wraps,150,5.0,30.0,4.0,Vegan,None,Vegetable,Lunch,1 wrap (150g)
Mango Chia Smoothie,180,6.0,25.0,8.0,Vegan,None,Fruit,Breakfast,1 cup (200g)
Cucumber Raita,60,3.0,6.0,2.0,Vegetarian,Dairy,Dairy,Lunch,1 cup (150g)
Chia Pudding,200,8.0,20.0,12.0,Vegetarian,Dairy,Dairy,Breakfast,1 cup (150g)
Mango Chia Smoothie,180,6.0,25.0,8.0,Vegan,None,Fruit,Breakfast,1 cup (200g)
Apple Cinnamon Oats,180,5.0,35.0,3.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Cabbage Sabzi (Stir-Fried Cabbage),100,4.0,15.0,3.0,Vegan,None,Vegetable,Lunch,1 cup (150g)
Cucumber and Tomato Salad,100,3.0,10.0,4.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Green Moong Soup,120,8.0,15.0,3.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Cucumber Salad with Olive Oil,100,2.0,15.0,7.0,Vegan,None,Snack,Snack,1 serving (100g)
Cucumber Raita,60,3.0,6.0,2.0,Vegetarian,Dairy,Dairy,Lunch,1 cup (150g)
Cabbage Stir Fry,100,3.0,12.0,5.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Cabbage Poriyal,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 serving (200g)
Vegetable Stir-Fry,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Baked Sweet Potato Fries,150,3.0,30.0,5.0,Vegan,None,Vegetable,Snack,1 serving (100g)
Peanuts,170,7.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Mango Chia Smoothie,180,6.0,25.0,8.0,Vegan,None,Fruit,Breakfast,1 cup (200g)
Kale Chips,100,5.0,8.0,6.0,Vegan,None,Vegetable,Snack,1 serving (50g)
Avocado Smoothie,250,5.0,20.0,20.0,Vegan,None,Fruit,Breakfast,1 cup (250g)
Palak Paneer,190,10.0,14.0,10.0,Balanced,Dairy,Indian Dish,Lunch,1 serving (200g)
Kale Chips,100,5.0,8.0,6.0,Vegan,None,Vegetable,Snack,1 serving (50g)
Steamed Moong Dal with Ginger,120,9.0,18.0,2.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Chia Seeds,138,5.0,12.0,9.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Sweet Potato and Chickpea Salad,220,8.0,35.0,6.0,Vegan,None,Vegetable,Lunch,1 bowl (200g)
Coconut Chia Pudding,150,6.0,15.0,9.0,Vegan,None,Nuts,Snack,1 cup (150g)
Rava Dosa,130,3.0,22.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 dosa (80g)
Lentil Salad with Tomatoes,180,10.0,25.0,5.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Masoor Dal (Red Lentil Soup),210,14.0,34.0,3.5,Vegan,None,Legumes,Lunch,1 cup (200g)
Cabbage Poriyal,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 serving (200g)
Kadhi Pakora,350,12.0,45.0,15.0,Vegetarian,Dairy,Meal,Dinner,1 serving (200g)
Cabbage Stir Fry,100,3.0,12.0,5.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Vegetable Stir-Fry,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Egg White Scramble with Spinach,180,20.0,6.0,7.0,Vegetarian,Eggs,Protein,Breakfast,1 serving (150g)
Spaghetti Squash with Marinara Sauce,200,6.0,35.0,5.0,Low-Carb,None,Meal,Dinner,1 serving (250g)
Berries (Mixed),70,1.0,17.0,0.5,Vegan,None,Fruit,Snack,1 cup (150g)
Cucumber and Tomato Salad,80,2.0,12.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Avocado Smoothie,250,5.0,20.0,20.0,Vegan,None,Fruit,Breakfast,1 cup (250g)
Avocado,160,2.0,9.0,15.0,Low-Carb,None,Fruit,Breakfast,1/2 avocado (100g)
Cucumber,16,0.7,3.8,0.1,Vegan,None,Vegetable,Snack,1 medium (100g)
Masala Chaas (Spiced Buttermilk),50,3.0,5.0,2.0,Vegetarian,Dairy,Dairy,Snack,1 glass (150g)
Baingan Bharta (Smoked Eggplant Curry),100,3.0,15.0,4.0,Vegan,None,Vegetable,Lunch,1 cup (150g)
Mashed Sweet Potatoes,150,3.0,35.0,2.0,Vegan,None,Side Dish,Dinner,1 serving (200g)
Chicken Breast,165,31.0,0.0,3.6,High-Protein,None,Meat,Lunch,1 breast (200g)
Tomato Soup with Basil,100,2.0,20.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (200g)
Aloo Paratha,400,8.0,60.0,15.0,Vegetarian,None,Meal,Breakfast,2 parathas (200g)
Baked Salmon with Spinach,300,20.0,10.0,20.0,Non-Vegetarian,Fish,Protein,Lunch,1 serving (200g)
Palak Paneer,250,15.0,20.0,15.0,Vegetarian,Dairy,Meal,Lunch,1 serving (200g)
Boiled Eggs with Spinach,140,12.0,6.0,9.0,Vegetarian,Eggs,Protein,Breakfast,2 eggs (150g)
Oats Upma,180,6.0,30.0,4.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Cucumber Raita,60,3.0,6.0,2.0,Vegetarian,Dairy,Dairy,Lunch,1 cup (150g)
Vegetable Soup,100,4.0,20.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (200g)
Quinoa and Black Bean Salad,300,12.0,45.0,8.0,Vegan,None,Grain,Lunch,1 serving (200g)
Greek Yogurt (unsweetened),100,10.0,8.0,5.0,High-Protein,Dairy,Dairy,Snack,1 cup (150g)
Chana Masala (Chickpea Curry),270,14.0,45.0,6.0,Vegan,None,Legumes,Lunch,1 cup (200g)
Mango Chia Smoothie,180,6.0,25.0,8.0,Vegan,None,Fruit,Breakfast,1 cup (200g)
Cucumber and Tomato Salad,80,2.0,12.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Baingan Bharta (Smoked Eggplant Curry),100,3.0,15.0,4.0,Vegan,None,Vegetable,Lunch,1 cup (150g)
Steamed Idli,150,4.0,30.0,1.0,Vegetarian,Gluten,Grain,Breakfast,2 pieces (100g)
Cucumber,16,0.7,3.8,0.1,Vegan,None,Vegetable,Snack,1 medium (100g)
Chana Masala (Chickpea Curry),270,14.0,45.0,6.0,Vegan,None,Legumes,Lunch,1 cup (200g)
Sabudana Khichdi (Tapioca Pearl Stir-fry),200,4.0,40.0,5.0,Vegetarian,None,Grain,Lunch,1 cup (200g)
Moong Dal Pancakes,150,8.0,25.0,3.0,Vegan,None,Legumes,Breakfast,2 pieces (100g)
Khandvi (Savory Gram Flour Rolls),130,5.0,20.0,4.0,Vegetarian,Gluten,Grain,Snack,2 pieces (80g)
Quinoa and Roasted Veggie Bowl,300,12.0,40.0,10.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Apple Cinnamon Oats,180,5.0,35.0,3.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Cabbage Stir Fry with Tofu,200,15.0,15.0,12.0,Vegan,None,Vegetable,Lunch,1 bowl (200g)
Almonds,576,21.2,21.6,49.9,High-Fat,None,Nuts,Afternoon Snack,1 handful (30g)
Green Moong Soup,120,8.0,15.0,3.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Vegetable Pulao,230,6.0,40.0,5.0,Vegetarian,None,Grain,Lunch,1 cup (200g)
Masoor Dal (Red Lentil Soup),210,14.0,34.0,3.5,Vegan,None,Legumes,Lunch,1 cup (200g)
Sunflower Seeds,165,6.0,7.0,14.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Fruit Smoothie (Banana + Almond Milk),200,5.0,40.0,5.0,Vegan,Nuts,Snack,Snack,1 glass (250ml)
Carrot,41,0.9,10.0,0.2,Vegan,None,Vegetable,Snack,1 medium (60g)
Quinoa Salad,180,8.0,30.0,5.0,Vegan,None,Grain,Lunch,1 serving (150g)
Roasted Pumpkin Seeds,100,5.0,10.0,7.0,Vegan,None,Nuts,Snack,1 serving (30g)
Cabbage Stir Fry with Tofu,200,15.0,15.0,12.0,Vegan,None,Vegetable,Lunch,1 bowl (200g)
Palak Paneer,190,10.0,14.0,10.0,Balanced,Dairy,Indian Dish,Lunch,1 serving (200g)
Paneer,265,18.0,1.2,20.0,High-Protein,Dairy,Dairy,Lunch,1 serving (200g)
Oats Upma,180,6.0,30.0,4.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Poha,180,3.0,30.0,5.0,Low-Fat,None,Indian Dish,Breakfast,1 serving (200g)
Almond Butter on Apple Slices,150,4.0,18.0,9.0,Vegan,None,Nuts,Snack,1 serving (100g)
Oats Upma,180,6.0,30.0,4.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Moong Dal Pancakes,150,8.0,25.0,3.0,Vegan,None,Legumes,Breakfast,2 pieces (100g)
Roti,120,4.0,25.0,1.0,High-Carb,Gluten,Indian Dish,Lunch,1 roti (50g)
Spinach and Mushroom Soup,110,6.0,12.0,5.0,Vegetarian,None,Vegetable,Lunch,1 bowl (150g)
Chia Seeds,138,5.0,12.0,9.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Oranges,62,1.2,15.4,0.2,Vegan,None,Fruit,Snack,1 medium (130g)
Roti,120,4.0,25.0,1.0,High-Carb,Gluten,Indian Dish,Lunch,1 roti (50g)
Grilled Tofu Wrap,300,20.0,35.0,10.0,Vegan,Soy,Meal,Lunch,1 wrap (200g)
Kale Chips,100,5.0,8.0,6.0,Vegan,None,Vegetable,Snack,1 serving (50g)
Palak Paneer,250,15.0,20.0,15.0,Vegetarian,Dairy,Meal,Lunch,1 serving (200g)
Grilled Tofu Wrap,300,20.0,35.0,10.0,Vegan,Soy,Meal,Lunch,1 wrap (200g)
Sprouts Salad,140,10.0,20.0,4.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Oranges,62,1.2,15.4,0.2,Vegan,None,Fruit,Snack,1 medium (130g)
Poha,180,3.0,30.0,5.0,Low-Fat,None,Indian Dish,Breakfast,1 serving (200g)
Almonds,160,6.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Aloo Methi Paratha,170,5.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 paratha (100g)
Poha,180,3.0,30.0,5.0,Low-Fat,None,Indian Dish,Breakfast,1 serving (200g)
Fruit Chaat,100,2.0,25.0,0.0,Vegan,None,Fruit,Snack,1 cup (150g)
Sweet Potato and Chickpea Salad,220,8.0,35.0,6.0,Vegan,None,Vegetable,Lunch,1 bowl (200g)
Oranges,62,1.2,15.4,0.2,Vegan,None,Fruit,Snack,1 medium (130g)
Blueberries,85,1.0,21.0,0.5,Vegan,None,Fruit,Snack,1 cup (150g)
Greek Yogurt with Honey and Almonds,200,12.0,15.0,10.0,Vegetarian,Dairy,Dairy,Snack,1 cup (150g)
Quinoa and Roasted Veggie Bowl,300,12.0,40.0,10.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Masoor Dal (Red Lentil Soup),210,14.0,34.0,3.5,Vegan,None,Legumes,Lunch,1 cup (200g)
Rajma (Kidney Bean Curry),300,15.0,50.0,7.0,Vegetarian,None,Meal,Lunch,1 serving (200g)
Masoor Dal,230,12.0,35.0,7.0,Vegan,None,Meal,Lunch,1 bowl (200g)
Masala Chaas (Spiced Buttermilk),50,3.0,6.0,2.0,Vegetarian,Dairy,Dairy,Snack,1 glass (200ml)
Banana,105,1.3,27.0,0.3,Vegan,None,Fruit,Snack,1 medium (120g)
Palak Paneer,190,10.0,14.0,10.0,Balanced,Dairy,Indian Dish,Lunch,1 serving (200g)
Palak Paneer,190,10.0,14.0,10.0,Balanced,Dairy,Indian Dish,Lunch,1 serving (200g)
Coconut Chips,200,2.0,10.0,18.0,Vegan,None,Snack,Snack,1 ounce (28g)
Cucumber Salad with Lemon,30,1.0,7.0,0.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Kale Chips,120,3.0,18.0,6.0,Vegan,None,Snack,Snack,1 serving (50g)
Grilled Tofu Wrap,300,20.0,35.0,10.0,Vegan,Soy,Meal,Lunch,1 wrap (200g)
Spaghetti Squash with Marinara Sauce,200,6.0,35.0,5.0,Low-Carb,None,Meal,Dinner,1 serving (250g)
Avocado Toast,350,7.0,40.0,20.0,Vegetarian,None,Snack,Snack,1 slice (100g)
Palak Chaat,250,6.0,30.0,12.0,Vegetarian,None,Snack,Afternoon Snack,1 plate (150g)
Greek Yogurt with Honey and Almonds,200,12.0,15.0,10.0,Vegetarian,Dairy,Dairy,Snack,1 cup (150g)
Almond Butter Toast,190,6.0,15.0,12.0,Vegetarian,Nuts,Nuts,Breakfast,1 slice (60g)
Vegetable Pulao,230,6.0,40.0,5.0,Vegetarian,None,Grain,Lunch,1 cup (200g)
Chia Seed Pudding,180,5.0,25.0,8.0,Vegan,None,Snack,Snack,1 small bowl (100g)
Cabbage and Carrot Salad,80,3.0,18.0,1.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Palak Chaat,250,6.0,30.0,12.0,Vegetarian,None,Snack,Afternoon Snack,1 plate (150g)
Masoor Dal (Red Lentil Soup),210,14.0,34.0,3.5,Vegan,None,Legumes,Lunch,1 cup (200g)
Gajar Halwa (Carrot Pudding),350,5.0,50.0,15.0,Vegetarian,Dairy,Dessert,Snack,1 small bowl (100g)
Lentils,116,9.0,20.1,0.4,High-Protein,None,Legume,Lunch,1 cup (200g)
Chia and Almond Pudding,180,8.0,20.0,12.0,Vegan,Nuts,Nuts,Breakfast,1 cup (150g)
Aloo Paratha,400,8.0,60.0,15.0,Vegetarian,None,Meal,Breakfast,2 parathas (200g)
Palak (Spinach) Paratha,150,5.0,25.0,3.0,Vegetarian,Gluten,Grain,Breakfast,1 paratha (100g)
Vegetable Poha,200,6.0,35.0,5.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Avocado Toast on Whole Wheat Bread,230,7.0,18.0,16.0,Vegetarian,Gluten,Nuts,Breakfast,1 slice (100g)
Almonds,160,6.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Chia Pudding with Berries,150,6.0,15.0,9.0,Vegan,None,Nuts,Snack,1 cup (150g)
Banana,89,1.1,22.8,0.3,Low-Calorie,None,Fruit,Morning Snack,1 banana (120g)
Walnuts,185,4.0,4.0,18.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Cheese (Cheddar),115,7.0,1.0,9.0,High-Protein,Dairy,Dairy,Snack,1 slice (30g)
Baked Salmon with Vegetables,350,30.0,10.0,20.0,Low-Carb,Fish,Meat,Dinner,1 serving (200g)
Baked Chicken Breast,250,40.0,0.0,10.0,High-Protein,None,Meat,Dinner,1 breast (150g)
Chana Masala (Chickpea Curry),270,14.0,45.0,6.0,Vegan,None,Legumes,Lunch,1 cup (200g)
Roti,120,4.0,25.0,1.0,High-Carb,Gluten,Indian Dish,Lunch,1 roti (50g)
Grilled Tofu with Veggies,250,18.0,15.0,15.0,Vegan,None,Protein,Lunch,1 bowl (200g)
Chickpea Salad with Cucumber,150,10.0,20.0,5.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Fruit Smoothie (Banana + Almond Milk),200,5.0,40.0,5.0,Vegan,Nuts,Snack,Snack,1 glass (250ml)
Chicken Curry (Low-Calorie),350,30.0,12.0,15.0,Low-Calorie,None,Meal,Dinner,1 serving (150g)
Tomato Soup with Basil,100,2.0,20.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (200g)
Roasted Pumpkin Seeds,100,5.0,10.0,7.0,Vegan,None,Nuts,Snack,1 serving (30g)
Chia Seeds,138,5.0,12.0,9.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Sambar (Lentil Soup with Vegetables),250,12.0,45.0,6.0,Vegan,None,Legumes,Lunch,1 bowl (200g)
Chicken Stew,200,20.0,10.0,8.0,High-Protein,None,Soup,Dinner,1 bowl (250g)
Quinoa Salad,222,8.0,39.0,3.5,High-Protein,None,Salad,Dinner,1 bowl (250g)
Dhokla,120,6.0,22.0,2.0,Vegetarian,Gluten,Grain,Breakfast,2 pieces (100g)
Eggs,155,13.0,1.1,10.6,High-Protein,None,Protein,Breakfast,2 eggs (140g)
Oranges,62,1.2,15.4,0.2,Vegan,None,Fruit,Snack,1 medium (130g)
Masoor Dal (Red Lentil Soup),210,14.0,34.0,3.5,Vegan,None,Legumes,Lunch,1 cup (200g)
Avocado,160,2.0,9.0,15.0,Low-Carb,None,Fruit,Breakfast,1/2 avocado (100g)
Chia Seed Pudding with Almond Milk,170,6.0,15.0,10.0,Vegan,None,Nuts,Breakfast,1 cup (150g)
Methi Thepla,150,5.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 thepla (80g)
Lentil Soup,180,12.0,30.0,3.0,Vegan,None,Meal,Lunch,1 bowl (250g)
Blueberries,85,1.0,21.0,0.5,Vegan,None,Fruit,Snack,1 cup (150g)
Eggs,155,13.0,1.1,10.6,High-Protein,None,Protein,Breakfast,2 eggs (140g)
Baked Falafel with Tahini Sauce,180,8.0,20.0,8.0,Vegan,None,Legumes,Lunch,1 serving (150g)
Aloo Gobi,150,5.0,25.0,7.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Tandoori Chicken,300,40.0,5.0,10.0,High-Protein,None,Meal,Dinner,1 piece (150g)
Grilled Salmon,400,40.0,5.0,25.0,Low-Carb,Fish,Meat,Dinner,1 fillet (200g)
Cucumber,16,0.7,3.8,0.1,Vegan,None,Vegetable,Snack,1 medium (100g)
Vegetable Stir Fry with Tofu,200,12.0,15.0,10.0,Vegan,Soy,Protein,Lunch,1 bowl (200g)
Chicken Salad,300,30.0,5.0,15.0,Low-Carb,None,Protein,Lunch,1 bowl (200g)
Mung Bean Salad,180,9.0,30.0,4.0,Vegan,None,Legumes,Lunch,1 bowl (200g)
Baingan Bharta,180,6.0,18.0,9.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Lentils,116,9.0,20.1,0.4,High-Protein,None,Legume,Lunch,1 cup (200g)
Coconut Chips,200,2.0,10.0,18.0,Vegan,None,Snack,Snack,1 ounce (28g)
Coconut Chia Pudding,150,6.0,15.0,9.0,Vegan,None,Nuts,Snack,1 cup (150g)
Baked Sweet Potatoes with Cinnamon,180,3.0,40.0,1.0,Vegan,None,Vegetable,Snack,1 medium potato (150g)
Boiled Corn on the Cob,150,5.0,30.0,2.0,Vegan,None,Vegetable,Snack,1 cob (150g)
Pesarattu (Green Gram Pancake),250,14.0,30.0,8.0,High-Protein,None,Meal,Breakfast,2 pancakes (200g)
Masoor Dal,230,12.0,35.0,7.0,Vegan,None,Meal,Lunch,1 bowl (200g)
Mango Chia Pudding,250,6.0,45.0,10.0,Vegan,None,Dessert,Snack,1 small bowl (150g)
Chia Seed Pudding with Almond Milk,170,6.0,15.0,10.0,Vegan,None,Nuts,Breakfast,1 cup (150g)
Cheese (Cheddar),115,7.0,1.0,9.0,High-Protein,Dairy,Dairy,Snack,1 slice (30g)
Apple,95,0.5,25.0,0.3,Vegan,None,Fruit,Snack,1 medium (150g)
Roti,120,4.0,25.0,1.0,High-Carb,Gluten,Indian Dish,Lunch,1 roti (50g)
Boiled Corn on the Cob,150,5.0,30.0,2.0,Vegan,None,Vegetable,Snack,1 cob (150g)
Oats Upma,180,6.0,30.0,4.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Avocado Toast,350,7.0,40.0,20.0,Vegetarian,None,Snack,Snack,1 slice (100g)
Steamed Veggie Wraps,150,5.0,30.0,4.0,Vegan,None,Vegetable,Lunch,1 wrap (150g)
Chia Pudding with Berries,180,8.0,20.0,12.0,Vegetarian,Dairy,Dairy,Breakfast,1 cup (150g)
Avocado,160,2.0,9.0,15.0,Low-Carb,None,Fruit,Breakfast,1/2 avocado (100g)
Cabbage Stir Fry with Tofu,200,15.0,15.0,12.0,Vegan,None,Vegetable,Lunch,1 bowl (200g)
Vegetable Samosa,200,5.0,25.0,10.0,Vegetarian,None,Snack,Snack,1 piece (50g)
Green Beans,31,2.0,7.0,0.1,Vegan,None,Vegetable,Snack,1 cup (125g)
Vegetable Stir-Fry,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Chia Seeds,138,5.0,12.0,9.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Baingan Bharta,180,6.0,18.0,9.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Moong Dal Khichdi,200,10.0,30.0,5.0,Vegetarian,None,Meal,Lunch,1 bowl (250g)
Paneer,265,18.0,1.2,20.0,High-Protein,Dairy,Dairy,Lunch,1 serving (200g)
Fruit Smoothie (Banana + Almond Milk),200,5.0,40.0,5.0,Vegan,Nuts,Snack,Snack,1 glass (250ml)
Lentils,116,9.0,20.1,0.4,High-Protein,None,Legume,Lunch,1 cup (200g)
Pesarattu (Green Gram Pancake),250,14.0,30.0,8.0,High-Protein,None,Meal,Breakfast,2 pancakes (200g)
Eggs,155,13.0,1.1,10.6,High-Protein,None,Protein,Breakfast,2 eggs (140g)
Almonds,160,6.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Cabbage Poriyal,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 serving (200g)
Tomato and Avocado Salad,160,4.0,15.0,10.0,Vegan,None,Vegetable,Lunch,1 bowl (150g)
Kale Chips,120,3.0,18.0,6.0,Vegan,None,Snack,Snack,1 serving (50g)
Banana,89,1.1,22.8,0.3,Low-Calorie,None,Fruit,Morning Snack,1 banana (120g)
Vegetable Soup,100,4.0,20.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (200g)
Spinach,23,2.9,3.6,0.4,Low-Calorie,None,Vegetable,Lunch,1 cup (180g)
Oats Upma,180,6.0,30.0,4.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Besan Chilla (Chickpea Flour Pancake),160,8.0,25.0,5.0,Vegan,None,Legumes,Breakfast,2 pieces (100g)
Palak (Spinach) Paratha,150,5.0,25.0,3.0,Vegetarian,Gluten,Grain,Breakfast,1 paratha (100g)
Whole Wheat Chapati with Ghee,150,4.0,25.0,5.0,Vegetarian,Gluten,Grain,Lunch,1 chapati (50g)
Sprouts Salad,140,10.0,20.0,4.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Steamed Broccoli with Lemon,60,5.0,10.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Oranges,62,1.2,15.4,0.2,Vegan,None,Fruit,Snack,1 medium (130g)
Apple Cinnamon Oatmeal,150,6.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 bowl (200g)
Masoor Dal,230,12.0,35.0,7.0,Vegan,None,Meal,Lunch,1 bowl (200g)
Spinach,7,0.9,1.0,0.1,Vegan,None,Vegetable,Snack,1 cup (30g)
Spinach and Tomato Omelette,180,14.0,8.0,12.0,Vegetarian,Eggs,Protein,Breakfast,1 omelette (150g)
Khichdi (Rice and Lentil Porridge),200,8.0,40.0,2.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Grilled Tofu Wrap,300,20.0,35.0,10.0,Vegan,Soy,Meal,Lunch,1 wrap (200g)
Chia Pudding with Berries,180,8.0,20.0,12.0,Vegetarian,Dairy,Dairy,Breakfast,1 cup (150g)
Steamed Idli,150,4.0,30.0,1.0,Vegetarian,Gluten,Grain,Breakfast,2 pieces (100g)
Palak Paneer,190,10.0,14.0,10.0,Balanced,Dairy,Indian Dish,Lunch,1 serving (200g)
Paneer,265,18.0,1.2,20.0,High-Protein,Dairy,Dairy,Lunch,1 serving (200g)
Cabbage Poriyal,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 serving (200g)
Gajar Halwa (Carrot Pudding),350,5.0,50.0,15.0,Vegetarian,Dairy,Dessert,Snack,1 small bowl (100g)
Chickpea Salad,150,8.0,20.0,4.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Avocado,160,2.0,9.0,15.0,Low-Carb,None,Fruit,Breakfast,1/2 avocado (100g)
Moong Dal Chilla (Yellow Lentil Pancake),180,12.0,25.0,5.0,Vegan,None,Legumes,Breakfast,2 pieces (100g)
Pumpkin Seeds,180,9.0,4.0,15.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Tomato and Avocado Salad,160,4.0,15.0,10.0,Vegan,None,Vegetable,Lunch,1 bowl (150g)
Smashed Avocado on Toast,210,6.0,18.0,14.0,Vegetarian,Gluten,Nuts,Breakfast,1 slice (100g)
Lentil Soup,180,12.0,30.0,4.0,Vegan,None,Legumes,Lunch,1 bowl (200g)
Lentil Soup,180,12.0,30.0,3.0,Vegan,None,Meal,Lunch,1 bowl (250g)
Chickpea Salad,150,8.0,20.0,4.0,Vegan,None,Legumes,Snack,1 bowl (150g)
